web_scraper_order,web_scraper_start_url,price,brand,name,data,data2,data3,data4,image
"1772998775-1","https://watchlab.ae/catalog/watch/","21 500 AED","Omega","SEAMASTER PLANET OCEAN 600M 43,5 ММ","BRAND NEW","","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/b59/500_500_2/e8dz8kghnj9zvtscy6kwdjf3yqnmwsog.jpg"
"1772998775-2","https://watchlab.ae/catalog/watch/","33 000 AED","Omega","SEAMASTER DIVER 300M MASTER CO-AXIAL 42","BRAND NEW","","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/35a/500_500_2/4v6r2siveh4crqpx7x33s58cb87q9643.jpg"
"1772998775-3","https://watchlab.ae/catalog/watch/","95 500 AED","Patek Philippe","GONDOLO QUARTZ WHITE GOLD & DIAMONDS","PERFECT","","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/a98/500_500_2/uoz0lpaxwsa1elef27jfy0wgq0w5j376.jpg"
"1772998775-4","https://watchlab.ae/catalog/watch/","826 000 AED","Audemars Piguet","ROYAL OAK FROSTED YELLOW GOLD OPENWORKED 37MM","BRAND NEW","","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/52c/500_500_2/y3lgnfsi8jzv3c0xr622f3d4aonwb2zp.jpg"
"1772998775-5","https://watchlab.ae/catalog/watch/","119 500 AED","Graff","SPORT CHRONOGRAFF 45 MM UNITED ARAB EMIRATES EDITION","UNWORN","","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/073/500_500_2/4k37i5ohx7wajxqzo906gp1x7jozjzyn.jpg"
"1772998775-6","https://watchlab.ae/catalog/watch/","349 000 AED","Hublot","SHAPED SPIRIT OF BIG BANG TOURBILLON ORANGE CARBON","BRAND NEW","","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/5fb/500_500_0/33mfngm0jxh6rl2w26ueyxx23apqx6jz.jpeg"
"1772998775-7","https://watchlab.ae/catalog/watch/","125 000 AED","Konstantin Chaykin","JOKER CLASSIC","BRAND NEW","","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/875/500_500_2/2a5jy7a9739ainiwma65xmfzmdt0bpd2.jpg"
"1772998775-8","https://watchlab.ae/catalog/watch/","29 000 AED","Omega","MOONWATCH PROFESSIONAL SPEEDMASTER STEEL CHRONOGRAPH","BRAND NEW","","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/800/500_500_2/0wh0u8tluzn8ogdxgj5h1j1msbid239f.jpg"
"1772998775-9","https://watchlab.ae/catalog/watch/","219 000 AED","Rolex","COSMOGRAPH DAYTONA WHITE GOLD GHOST DIAL OYSTERFLEX BRACELET","BRAND NEW","On Order","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/3e8/500_500_2/hi1lzvmcw5nvj9eqjte3bhj1et3bfptq.jpg"
"1772998775-10","https://watchlab.ae/catalog/watch/","268 000 AED","Patek Philippe","AQUANAUT LUCE GREEN DIAMOND BEZEL","BRAND NEW","On Order","","BOX                                     &                                     PAPERS","https://watchlab.ae/upload/resize_cache/iblock/4f8/500_500_2/kukve8ihqgfmka54g91c1nxr1ia664pd.jpg"
