"web_scraper_order","web_scraper_start_url","price","name","brand","data","data2","data3","image","Brand","Ref","Sex","Movement","Case diametr, mm","Case material","Strap","Complications","Condition report","Waterproof","Caliber","SKU","Case shape","Insert"
"1773071530-1","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex COSMOGRAPH DAYTONA Steel & Yellow gold White Dial","Rolex","","","","","Rolex","126503","Unisex","Automatic","40","Steel, Yellow Gold","Bracelet","Mechanical self-winding, Chronograph","Brand new","100 m","4131","8347","",""
"1773071530-2","https://watchlab.ae/catalog/watch/","Our price:                                                                        18 000 AED","Breitling AVENGER CHRONOGRAPH 45 BLACK","Breitling","","","","","Breitling","A13317101B1X1","Male","","45","Steel","Leather","Mechanical self-winding, Chronograph, Date","Brand new","300 m","Breitling 13","6952","",""
"1773071530-3","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & White gold Pink Dial Oyster Bracelet","Rolex","","","","","Rolex","278274","Female","Automatic","31","Steel, White gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16452","",""
"1773071530-4","https://watchlab.ae/catalog/watch/","Our price:                                                                        47 000 AED","Cartier Santos Large Custom Diamond Set Pave Dial","Cartier","","","","","Cartier","WSSA0018 FIX","Unisex","","39.5","Steel, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","10 m","Caliber 1847 MC","3747","",""
"1773071530-5","https://watchlab.ae/catalog/watch/","Our price:                                                                        26 000 AED","Franck Muller Vanguard Black and red dial Steel 45mm","Franck Muller","","","","","Franck Muller","V 45 SC DT / AC ER","Male","Automatic","45","Steel","Leather","Mechanical self-winding, Date","Brand new","","","3714","",""
"1773071530-6","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & White gold Silver Diamonds Dial Diamond bezel Jubilee","Rolex","","","","","Rolex","278384rbr","Female","Automatic","31","Steel, White gold","Bracelet","Mechanical self-winding, Date","Brand new in films","100 m","Caliber Rolex 2236","14784","",""
"1773071530-7","https://watchlab.ae/catalog/watch/","Our price:                                                                        26 000 AED","Hublot Classic Fusion Blue Titanium 45 mm","Hublot","","","","","Hublot","511.NX.7170.LR","Male","","45","Titanium","Leather","Mechanical self-winding, Date","","50m","Caliber HUB 1112","3104","",""
"1773071530-8","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex COSMOGRAPH DAYTONA Yellow gold Black Dial","Rolex","","","","","Rolex","126508","Unisex","Automatic","40","Yellow Gold","Bracelet","Mechanical self-winding, Chronograph","Brand new","100 m","4131","6946","",""
"1773071530-9","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST                                                                                                                                 Retail price:  43 700 AED","Bvlgari Serpenti Tubogas 35mm Steel & Rose Gold Single-Spiral Black dial","Bvlgari","","","","","Bvlgari","102123","Female","Quartz","35","Steel, Rose gold","Bracelet","Quartz","Brand new","30 m","","8451","",""
"1773071530-10","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST                                                                                                                                 Retail price:  35 775 AED","Franck Muller Vanguard Titanium Black and Yellow Dial 45mm","Franck Muller","","","","","Franck Muller","V 45 SC DT TT NR BR ER","Male","Automatic","45","Titanium","Leather","Mechanical self-winding, Date","Brand new","30 m","","7055","Barrel",""
"1773071530-11","https://watchlab.ae/catalog/watch/","Our price:                                                                        899 000 AED","Antoine Preziuso Tourbillon of Tourbillons Piece Unique","Antoine Preziuso","","","","","Antoine Preziuso","Tourbillon des Tourbillons 002","Male","","45","Titanium, Rose gold, White gold","Leather","Mechanical hand-wound, Tourbillon","Brand new
Piece unique","30m","","3579","",""
"1773071530-12","https://watchlab.ae/catalog/watch/","Our price:                                                                        150 000 AED","Rolex Datejust 36mm Zebra White Gold Factory Made","Rolex","","","","","Rolex","116189BB","Unisex","Automatic","36","White gold, Diamonds","Rubber","Mechanical self-winding, Date","Unworn watch in factory stickers","100 m","Rolex 3135","15763","",""
"1773071530-13","https://watchlab.ae/catalog/watch/","Our price:                                                                        224 500 AED","Rolex DiW Daytona Military blue Carbon","Rolex DiW","","","","","Rolex DiW","Military Blue","Male","Automatic","40","carbon","","Mechanical self-winding, Chronograph","Brand new","50m","4130 Rolex","7661","",""
"1773071530-14","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 36mm Champagne Palm Motif Dial Oyster Bracelet","Rolex","","","","","Rolex","126233","Unisex","Automatic","36","Steel, Yellow Gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","3235","7813","",""
"1773071530-15","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 41mm Steel and Rose gold Wimbledon dial Jubilee bracelet","Rolex","","","","","Rolex","126331","Male","Automatic","41","Rose gold, Steel","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Caliber 3235","14316","",""
"1773071530-16","https://watchlab.ae/catalog/watch/","Our price:                                                                        20 000 AED                                                                                            Retail price:  25 200 AED","Breitling SUPEROCEAN HERITAGE B01 CHRONOGRAPH 44 GREEN DIAL","Breitling","","","","","Breitling","A13313121L1S1","Male","Automatic","44","Steel, Ceramics","Rubber","Mechanical self-winding, Chronograph, Date","Brand new","200 m","Breitling Calibre 13","15222","",""
"1773071530-17","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Audemars Piguet Royal Oak Selfwinding Chronograph Yellow Gold 1017 ALYX 9SM Limited Edition 202 Pcs","Audemars Piguet","","","","","Audemars Piguet","26240BA.OO.1320BA.01","Male","","41","Yellow Gold","Bracelet","Mechanical self-winding, Chronograph, Date","mint condition, like new","50 м","4401","14348","",""
"1773071530-18","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST                                                                                                                                 Retail price:  33 100 AED","Cartier Santos De Cartier Large Brown Dial Steel","Cartier","","","","","Cartier","WSSA0064","Male","Automatic","39.8","Steel","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Caliber 1847 MC","7021","",""
"1773071530-19","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Patek Philippe Aquanaut Flyback Chronograph White Gold Green Dial 2025","Patek Philippe","","","","","Patek Philippe","5968G-010","Male","","42.2","White gold","Rubber","Mechanical self-winding, Flyback chronograph, Date","Brand new","120м","CH 28-520 C/528","14839","",""
"1773071530-20","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex COSMOGRAPH DAYTONA PLATINUM","Rolex","","","","","Rolex","126506","Unisex","Automatic","40","Platinum, Ceramics","Bracelet","Mechanical self-winding, Chronograph","Brand new","100 m","4131","3739","",""
"1773071530-21","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel and Everose Gold Sundust Dial Jubilee Bracelet","Rolex","","","","","Rolex","278271","Female","Automatic","31","Steel, Rose gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16411","",""
"1773071530-22","https://watchlab.ae/catalog/watch/","Our price:                                                                        93 000 AED","H. Moser & Cie Streamliner Centre Seconds Green 40mm Steel","H. Moser & Cie","","","","","H. Moser & Cie","6200-1200","Male","Automatic","40","Steel","Bracelet","Mechanical self-winding","Brand new","120 m","","3565","",""
"1773071530-23","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 41mm Steel & White Gold White Dial Jubilee Bracelet","Rolex","","","","","Rolex","126334","Male","Automatic","41","Steel, White gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Caliber 3235","17214","",""
"1773071530-24","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Audemars Piguet Royal Oak Double Balance Wheel Openworked","Audemars Piguet","","","","","Audemars Piguet","15407ST.OO.1220ST.01","Male","","41","Steel","Bracelet","Mechanical self-winding","Brand new","50 м","","4016","",""
"1773071530-25","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & White gold Dark Grey Roman Dial Oyster Bracelet","Rolex","","","","","Rolex","278274","Female","Automatic","31","Steel, White gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16451","",""
"1773071530-26","https://watchlab.ae/catalog/watch/","Our price:                                                                        100 200 AED                                                                                            Retail price:  133 573 AED","Franck Muller Vanguard Lady Heart Skeleton Violet Color Factory diamonds Steel 35mm","Franck Muller","","","","","Franck Muller","V35 S6 SQT D HRT AC RS","Female","Automatic","35","Steel, Diamonds","Leather","Mechanical hand-wound","Brand new","30 m","","7093","Barrel",""
"1773071530-27","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Sky-Dweller Steel & White gold Mint Green Dial Oyster bracelet","Rolex","","","","","Rolex","336934","Male","Automatic","42","Steel, White gold","Bracelet","Mechanical self-winding, Annual calendar, Second time zone, Date","Brand new","100 m","Caliber 9002","7234","",""
"1773071530-28","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Audemars Piguet ROYAL OAK “JUMBO” EXTRA-THIN 15202OR.OO.1240OR.01.A","Audemars Piguet","","","","","Audemars Piguet","15202OR.OO.1240OR.01.A","Male","Automatic","39","Rose gold","Bracelet","Mechanical self-winding, Date","","50 m","CALIBRE 2121","1026","",""
"1773071530-29","https://watchlab.ae/catalog/watch/","Our price:                                                                        21 000 AED                                                                                            Retail price:  22 100 AED","Cartier PANTHÈRE DE CARTIER Steel Medium","Cartier","","","","","Cartier","WSPN0007 / WSPN0015","Female","Quartz","26","Steel","Bracelet","Quartz","Brand new","30 m","","8361","",""
"1773071530-30","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Omega Seamaster DIVER 300M CO‑AXIAL MASTER CHRONOMETER 42 MM Green Dial","Omega","","","","","Omega","210.30.42.20.10.001","Male","Automatic","42","Steel","Bracelet","Mechanical self-winding, Date","Brand new","300 m","","3359","",""
"1773071530-31","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Oyster Perpetual 34mm Lavender","Rolex","","","","","Rolex","124200","Unisex","Automatic","34","Steel","Bracelet","Mechanical self-winding","Brand new","100 m","3130","16539","",""
"1773071530-32","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST                                                                                                                                 Retail price:  67 000 AED","Bvlgari Lvcea Watch Steel & Rose Gold malachite marquetry dial Diamonds","Bvlgari","","","","","Bvlgari","103731","Female","Quartz","33","Steel, Rose gold, Diamonds","Bracelet","Quartz","Brand new","50 m","","15658","",""
"1773071530-33","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 41mm Steel & Rose Gold Wimbledon dial Oyster bracelet","Rolex","","","","","Rolex","126331","Unisex","","41","Steel, Rose gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","3235","15075","",""
"1773071530-34","https://watchlab.ae/catalog/watch/","Our price:                                                                        29 000 AED                                                                                            Retail price:  38 900 AED","Franck Muller Vanguard Golf Black Titanium 45mm","Franck Muller","","","","","Franck Muller","V45 SC DT GOLF TT NR BRNC","Male","Automatic","44","Titanium","","Mechanical self-winding","Brand new","30 m","","7082","Barrel",""
